func_args;signature;origin
PausePublic(bool);\xa14d191ca4f53bfcf003c65d429362010a2d3d68bc0c50cce4bdc0fccf661fb0;10
PauseOwnerAdmin(bool);\xc77636fc4a62a1fa193ef538c0b7993a1313a0d9c0a9173058cebcd3239ef7b5;10
Confirmation(address,uint256);\x4a504a94899432a9846e1aa406dceb1bcfd538bb839071d49d1e5e23f5be30ef;10
Revocation(address,uint256);\xf6a317157440607f36269043eb55f1287a5a19ba2216afeab88cd46cbcfb88e9;10
Submission(uint256);\xc0ba8fe4b176c1714197d43b9cc6bcf797a4a7461c5fe8d0ef6e184ae7601e51;10
Execution(uint256);\x33e13ecb54c3076d8e8bb8c2881800a4d972b792045ffae98fdf46df365fed75;10
ExecutionFailure(uint256);\x526441bb6c1aba3c9a4a6ca1d6545da9c2333c8c48343ef398eb858d72b79236;10
Deposit(address,uint256);\xe1fffcc4923d04b559f4d29a8bfc6cda04eb5b0d3c460751c2402c5c5cc9109c;10
OwnerAddition(address);\xf39e6e1eb0edcf53c221607b54b00cd28f3196fed0a24994dc308b8f611b682d;10
OwnerRemoval(address);\x8001553a916ef2f495d26a907cc54d96ed840d7bda71e73194bf5a9df7a76b90;10
RequirementChange(uint256);\xa3f1ee9126a074d9326c682f561767f710e927faa811f7a99829d49dc421797a;10
PacksPurchased(uint256,address,uint16);\x861fd6f8fe14603acc05fa404f8cca86371619cac8a65a92edf687f81b9bafbd;10
PackOpened(uint256,uint16,address,uint256[]);\x69ac64af86d3ef40c9def928534f6a6a9e12d85ec3af2948bd66b802afcc1046;10
RandomnessReceived(uint256,address,uint16,uint256);\xedb5ce4012b6e9c5904afa2ffad9811d5c2e91e6bca8914cf7e3ffc28e630c57;10
Referral(address,uint256,address);\x13aa7090696e2a1d666cfc6046f2f72f1c4e0290649b47bab28d1b370ad73783;10
Mint(address,uint256);\x0f6798a560793a54c3bcfe86a93cde1e73087d944c0ea20544137d4121396885;10
MintFinished();\xae5184fba832cb2b1f702aca6117b8d265eaf03ad33eb133f19dde0f5920fa08;10
DistributeTokens(uint256,uint256);\x814d1c01dd9d41d8814a098865d02ec577732a960a0c116bc8181cade7c40045;10
Upgrade(address,address,uint256);\x7e5c344a8141a805725cb476f76c6953b842222b967edd1f78ddb6e8b3f397ac;10
AccountLocked(address,uint256);\xf7c3865a2047e2fc614fff3af48eef519dfd5243847cbefd615b3a150a9db5b0;10
AccountFrozen(address,bool);\xa33e6b076d391e96626483b30e365719f79f1d6594aff6587649ffd6c82ed7fa;10
Transfer(address,address,uint256,bytes);\xe19260aff97b920c7df27010903aeb9c8d2be5d310a2c67824cf3f15396e4c16;10
KycVerified(address,address,uint64,uint256);\x74e336db80b339721548db3209451cf01bd48e4a996e1bcea7f1a2abf8b06070;10
LedgerFailed(string);\xba25832029411687c394a824d87712e78d92bf39588b54f10b611d6ed2464dec;10
BuyTickets(address,address,uint256);\x9ea56af881ffe028f0ad190d981a983e3829992e4ee578085dbe5c3a1c6749f7;10
Winner(address,address,uint256,uint256,uint256);\xdebf20cc3076b61eb4f3c15975aab71e4d1a8e8bcb8d4060d313b032cc836fa4;10
